"filename", "language", "Properties", "JSON", "HTML", "Java", "SQL", "comment", "blank", "total"
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\account\AccountLog.java", "Java", 0, 0, 0, 37, 0, 1, 9, 47
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\account\ContactDetails.java", "Java", 0, 0, 0, 17, 0, 0, 4, 21
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\annotations\CheckboxCriteria.java", "Java", 0, 0, 0, 8, 0, 0, 4, 12
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\annotations\SelectCriteria.java", "Java", 0, 0, 0, 8, 0, 0, 4, 12
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\converters\PersistableEnumConverter.java", "Java", 0, 0, 0, 27, 0, 0, 6, 33
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\enums\AccountLogType.java", "Java", 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\enums\AccountType.java", "Java", 0, 0, 0, 26, 0, 0, 6, 32
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\enums\ActionLogType.java", "Java", 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\enums\BodyStyle.java", "Java", 0, 0, 0, 29, 0, 1, 5, 35
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\enums\Color.java", "Java", 0, 0, 0, 27, 0, 1, 5, 33
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\enums\Drive.java", "Java", 0, 0, 0, 18, 0, 0, 5, 23
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\enums\Feature.java", "Java", 0, 0, 0, 102, 0, 1, 5, 108
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\enums\FuelType.java", "Java", 0, 0, 0, 22, 0, 0, 5, 27
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\enums\RaceEnum.java", "Java", 0, 0, 0, 45, 0, 0, 10, 55
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\enums\Role.java", "Java", 0, 0, 0, 12, 0, 0, 4, 16
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\enums\SortOption.java", "Java", 0, 0, 0, 21, 0, 0, 5, 26
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\enums\State.java", "Java", 0, 0, 0, 17, 0, 0, 5, 22
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\enums\Textable.java", "Java", 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\enums\Transmission.java", "Java", 0, 0, 0, 16, 0, 0, 5, 21
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\enums\UserLogType.java", "Java", 0, 0, 0, 29, 0, 0, 8, 37
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\geo\Address.java", "Java", 0, 0, 0, 32, 0, 0, 8, 40
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\geo\GeoLocation.java", "Java", 0, 0, 0, 76, 0, 0, 12, 88
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\geo\Location.java", "Java", 0, 0, 0, 42, 0, 0, 11, 53
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\geo\Province.java", "Java", 0, 0, 0, 26, 0, 0, 6, 32
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\media\MediaFile.java", "Java", 0, 0, 0, 51, 0, 0, 13, 64
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\media\MediaFunction.java", "Java", 0, 0, 0, 28, 0, 0, 8, 36
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\media\StorageType.java", "Java", 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\offer\Offer.java", "Java", 0, 0, 0, 65, 0, 7, 18, 90
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\offer\PriceChange.java", "Java", 0, 0, 0, 26, 0, 0, 7, 33
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\models\offer\Vehicle.java", "Java", 0, 0, 0, 79, 0, 0, 21, 100
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\projections\MakerNameProjection.java", "Java", 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\projections\PrivateAccountDetails.java", "Java", 0, 0, 0, 11, 0, 0, 7, 18
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\projections\geo\LocationId.java", "Java", 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\vasat\Desktop\GitHub\autohouse-server\src\main\java\bg\autohouse\data\projections\user\UserIdUsername.java", "Java", 0, 0, 0, 5, 0, 0, 3, 8
